Movie,Year,Score,Adjusted Score,Director,Cast,Consensus,Box Office Collection,Imdb_genre,IMDB Rating,metascore,time_minute,Votes,Is Common Movie
We Steal Secrets: The Story of WikiLeaks,2013,92,93.85,Alex Gibney,"Julian Assange, Chelsea Manning, Robert Manne, Michael Hayden","Filmmaker Alex Gibney examines the case of Julian Assange and WikiLeaks, and how their actions have changed the way democratic...",,,,,,,FALSE
We the Animals,2018,92,97.499,Jeremiah Zagar,"Raul Castillo, Sheila Vand, Evan Rosado, Isaiah Kristian","Manny, Joel, and Jonah tear their way through childhood. Their mother and father have a volatile relationship that makes and...",,,,,,,FALSE
Beasts of No Nation,2015,92,101.803,Cary Joji Fukunaga,"Idris Elba, Abraham Attah, Opeyemi Fagbohungbe, Kurt Egyiawan","As civil war rages in Africa, a fierce warlord (Idris Elba) trains a young orphan (Abraham Attah) to join his...",90777,Drama,7.7,79,137,80228,FALSE
Silver Linings Playbook,2012,92,102.814,David O. Russell,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver","After losing his job and wife, and spending time in a mental institution, Pat Solatano (Bradley Cooper) winds up living...",236412453,Comedy,7.7,81,122,698606,TRUE
Da 5 Bloods,2020,92,113.343,Spike Lee,"Delroy Lindo, Jonathan Majors, Clarke Peters, Norm Lewis",Four African American vets battle the forces of man and nature when they return to Vietnam seeking the remains of...,,Drama,6.5,82,154,50328,TRUE
Uncut Gems,2019,92,112.693,Benny Safdie,"Adam Sandler, LaKeith Stanfield, Julia Fox, Kevin Garnett",A charismatic jeweler makes a high-stakes bet that could lead to the windfall of a lifetime. In a precarious high-wire...,50023780,Drama,7.4,91,135,266492,FALSE
Dunkirk,2017,92,128.499,Christopher Nolan,"Fionn Whitehead, Tom Glynn-Carney, Jack Lowden, Harry Styles","In May 1940, Germany advanced into France, trapping Allied troops on the beaches of Dunkirk. Under air and ground cover...",518058826,Drama,7.8,94,106,632364,TRUE
Hush,2016,93,95.453,Mike Flanagan,"John Gallagher Jr., Kate Siegel, Michael Trucco, Samantha Sloyan",A deaf woman is stalked by a killer in her home....,13587246,Horror,6.6,67,82,126685,FALSE
Sand Storm,2016,93,94.936,Elite Zexer,"Lamis Ammar, Ruba Blal, Hitham Omari, Khadija Al Akel","In Southern Israel, a teen's (Lamis Ammar) forbidden love affair challenges the traditions of her Bedouin mother and father....",,,,,,,FALSE
Final Account,2020,93,95.101,Luke Holland,Luke Holland,FINAL ACCOUNT is an urgent portrait of the last living generation of everyday people to participate in Adolf Hitler's Third...,353056,,,,,,FALSE
Fyre,2019,93,97.285,Chris Smith,,"The history of the Fyre Music Festival, from its creation through its unraveling....",,,,,,,FALSE
